,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
89,22/10/2017,Tottenham,Liverpool,"['4 ', ' 1']",Tottenham,8,15,5,17,13.74,4.49,7.4,15.85,10.375,2.875,2.125,Liverpool,8,13,12,13,17.28,10.27,12.44,14.24,9.75,3.75,1.625
90,28/10/2017,Manchester United,Tottenham,"['1 ', ' 0']",Manchester United,9,22,4,20,19.62,8.4,10.04,13.86,7.444444444444445,4.444444444444445,2.2222222222222223,Tottenham,9,19,6,20,16.36,5.16,8.98,15.02,9.777777777777779,3.4444444444444446,2.2222222222222223
91,28/10/2017,Arsenal,Swansea,"['2 ', ' 1']",Arsenal,9,17,12,16,18.06,10.56,8.23,16.98,11.88888888888889,3.2222222222222223,1.7777777777777777,Swansea,9,6,10,8,7.22,13.01,13.35,9.89,2.5555555555555554,5.888888888888889,0.8888888888888888
92,28/10/2017,Crystal Palace,West Ham,"['2 ', ' 2']",Crystal Palace,9,2,19,3,9.24,17.22,12.69,8.36,5.666666666666667,7.666666666666667,0.3333333333333333,West Ham,9,8,17,8,7.71,12.98,10.61,10.08,2.6666666666666665,5.333333333333333,0.8888888888888888
93,28/10/2017,Liverpool,Huddersfield,"['3 ', ' 0']",Liverpool,9,14,16,13,17.95,12.89,12.01,15.43,9.555555555555555,3.888888888888889,1.4444444444444444,Huddersfield,9,7,10,12,6.93,10.34,11.26,10.44,3.111111111111111,4.555555555555555,1.3333333333333333
94,28/10/2017,Watford,Stoke,"['0 ', ' 1']",Watford,9,15,17,15,12.33,14.88,12.49,10.82,4.888888888888889,7.666666666666667,1.6666666666666667,Stoke,9,10,20,8,9.69,16.23,16.43,8.09,6.111111111111111,8.333333333333334,0.8888888888888888
95,28/10/2017,West Bromwich Albion,Manchester City,"['2 ', ' 3']",West Bromwich Albion,9,7,10,10,7.73,10.4,15.56,7.8,2.7777777777777777,6.444444444444445,1.1111111111111112,Manchester City,9,32,4,25,27.04,5.11,6.94,31.46,14.11111111111111,2.4444444444444446,2.7777777777777777
96,28/10/2017,Bournemouth,Chelsea,"['0 ', ' 1']",Bournemouth,9,6,13,7,6.61,14.85,14.05,9.19,6.0,8.555555555555555,0.7777777777777778,Chelsea,9,17,10,16,10.11,9.53,13.33,11.81,5.777777777777778,6.222222222222222,1.7777777777777777
97,29/10/2017,Brighton,Southampton,"['1 ', ' 1']",Brighton,9,9,10,11,6.56,12.17,18.69,13.75,4.0,8.333333333333334,1.2222222222222223,Southampton,9,8,9,12,12.57,11.27,7.57,14.75,9.555555555555555,4.777777777777778,1.3333333333333333
98,29/10/2017,Leicester,Everton,"['2 ', ' 0']",Leicester,9,12,14,9,12.86,11.19,13.16,10.91,3.3333333333333335,8.777777777777779,1.0,Everton,9,7,18,8,9.27,13.74,11.72,12.51,5.888888888888889,9.555555555555555,0.8888888888888888
99,30/10/2017,Burnley,Newcastle United,"['1 ', ' 0']",Burnley,9,8,9,13,4.98,14.08,14.44,9.55,4.111111111111111,9.222222222222221,1.4444444444444444,Newcastle United,9,10,8,14,10.93,9.76,13.81,8.29,4.666666666666667,5.111111111111111,1.5555555555555556
100,04/11/2017,Stoke,Leicester,"['2 ', ' 2']",Stoke,10,11,20,11,10.47,17.36,17.25,7.93,5.9,8.8,1.1,Leicester,10,14,14,12,14.23,11.76,13.51,9.83,3.4,8.4,1.2
101,04/11/2017,Huddersfield,West Bromwich Albion,"['1 ', ' 0']",Huddersfield,10,7,13,12,6.99,12.48,12.66,10.02,2.8,5.7,1.2,West Bromwich Albion,10,9,13,10,8.84,13.17,16.3,7.31,2.6,7.5,1.0
102,04/11/2017,Newcastle United,Bournemouth,"['0 ', ' 1']",Newcastle United,10,10,9,14,11.45,10.79,13.62,8.93,4.7,5.2,1.4,Bournemouth,10,6,14,7,7.07,16.64,14.89,9.84,6.2,9.1,0.7
103,04/11/2017,Southampton,Burnley,"['0 ', ' 1']",Southampton,10,9,10,13,13.11,12.78,7.98,14.91,9.1,4.8,1.3,Burnley,10,9,9,16,6.0,14.59,14.49,9.8,4.3,8.8,1.6
104,04/11/2017,Swansea,Brighton,"['0 ', ' 1']",Swansea,10,7,12,8,8.05,15.39,14.14,9.67,2.6,7.2,0.8,Brighton,10,10,11,12,8.06,12.71,18.46,13.37,4.1,8.0,1.2
105,04/11/2017,West Ham,Liverpool,"['1 ', ' 4']",West Ham,10,10,19,9,8.45,15.9,10.62,9.48,2.9,5.9,0.9,Liverpool,10,17,16,16,20.09,12.94,11.4,16.66,10.2,3.5,1.6
